intersection_id,tollgate_id,time_window_start,time_window_end,avg_travel_time
A,2.0,2016-08-31 06:00:00,2016-08-31 06:20:00,49.38
A,2.0,2016-09-01 06:00:00,2016-09-01 06:20:00,79.8
A,2.0,2016-09-02 06:00:00,2016-09-02 06:20:00,77.75
A,2.0,2016-09-03 06:00:00,2016-09-03 06:20:00,45.85
A,2.0,2016-09-04 06:00:00,2016-09-04 06:20:00,
A,2.0,2016-09-05 06:00:00,2016-09-05 06:20:00,41.7
A,2.0,2016-09-06 06:00:00,2016-09-06 06:20:00,48.21
A,2.0,2016-09-07 06:00:00,2016-09-07 06:20:00,57.09
A,2.0,2016-09-08 06:00:00,2016-09-08 06:20:00,42.95
A,2.0,2016-09-09 06:00:00,2016-09-09 06:20:00,49.03
A,2.0,2016-09-10 06:00:00,2016-09-10 06:20:00,55.59
A,2.0,2016-09-11 06:00:00,2016-09-11 06:20:00,63.36
A,2.0,2016-09-12 06:00:00,2016-09-12 06:20:00,41.04
A,2.0,2016-09-13 06:00:00,2016-09-13 06:20:00,46.57
A,2.0,2016-09-14 06:00:00,2016-09-14 06:20:00,47.0
A,2.0,2016-09-15 06:00:00,2016-09-15 06:20:00,47.64
A,2.0,2016-09-16 06:00:00,2016-09-16 06:20:00,53.53
A,2.0,2016-09-17 06:00:00,2016-09-17 06:20:00,
A,2.0,2016-09-18 06:00:00,2016-09-18 06:20:00,60.3
A,2.0,2016-09-19 06:00:00,2016-09-19 06:20:00,44.12
A,2.0,2016-09-20 06:00:00,2016-09-20 06:20:00,
A,2.0,2016-09-21 06:00:00,2016-09-21 06:20:00,59.69
A,2.0,2016-09-22 06:00:00,2016-09-22 06:20:00,59.31
A,2.0,2016-09-23 06:00:00,2016-09-23 06:20:00,59.24
A,2.0,2016-09-24 06:00:00,2016-09-24 06:20:00,65.37
A,2.0,2016-09-25 06:00:00,2016-09-25 06:20:00,35.74
A,2.0,2016-09-26 06:00:00,2016-09-26 06:20:00,49.35
A,2.0,2016-09-27 06:00:00,2016-09-27 06:20:00,44.23
A,2.0,2016-09-28 06:00:00,2016-09-28 06:20:00,46.83
A,2.0,2016-09-29 06:00:00,2016-09-29 06:20:00,64.93
A,2.0,2016-09-30 06:00:00,2016-09-30 06:20:00,47.53
A,2.0,2016-10-01 06:00:00,2016-10-01 06:20:00,74.66
A,2.0,2016-10-02 06:00:00,2016-10-02 06:20:00,39.04
A,2.0,2016-10-03 06:00:00,2016-10-03 06:20:00,35.51
A,2.0,2016-10-04 06:00:00,2016-10-04 06:20:00,72.51
A,2.0,2016-10-05 06:00:00,2016-10-05 06:20:00,40.65
A,2.0,2016-10-06 06:00:00,2016-10-06 06:20:00,47.36
A,2.0,2016-10-07 06:00:00,2016-10-07 06:20:00,36.61
A,2.0,2016-10-08 06:00:00,2016-10-08 06:20:00,44.86
A,2.0,2016-10-09 06:00:00,2016-10-09 06:20:00,62.44
A,2.0,2016-10-10 06:00:00,2016-10-10 06:20:00,37.92
A,2.0,2016-10-11 06:00:00,2016-10-11 06:20:00,44.41
A,2.0,2016-10-12 06:00:00,2016-10-12 06:20:00,49.68
A,2.0,2016-10-13 06:00:00,2016-10-13 06:20:00,54.31
A,2.0,2016-10-14 06:00:00,2016-10-14 06:20:00,57.94
A,2.0,2016-10-15 06:00:00,2016-10-15 06:20:00,57.38
A,2.0,2016-10-16 06:00:00,2016-10-16 06:20:00,44.35
A,2.0,2016-10-17 06:00:00,2016-10-17 06:20:00,43.74
A,2.0,2016-07-19 06:20:00,2016-07-19 06:40:00,48.59
A,2.0,2016-07-20 06:20:00,2016-07-20 06:40:00,59.87
A,2.0,2016-07-21 06:20:00,2016-07-21 06:40:00,87.03
A,2.0,2016-07-22 06:20:00,2016-07-22 06:40:00,57.04
A,2.0,2016-07-23 06:20:00,2016-07-23 06:40:00,80.13
A,2.0,2016-07-24 06:20:00,2016-07-24 06:40:00,63.18
A,2.0,2016-07-25 06:20:00,2016-07-25 06:40:00,40.39
A,2.0,2016-07-26 06:20:00,2016-07-26 06:40:00,83.02
A,2.0,2016-07-27 06:20:00,2016-07-27 06:40:00,77.4
A,2.0,2016-07-28 06:20:00,2016-07-28 06:40:00,55.89
A,2.0,2016-07-29 06:20:00,2016-07-29 06:40:00,59.76
A,2.0,2016-07-30 06:20:00,2016-07-30 06:40:00,44.54
A,2.0,2016-07-31 06:20:00,2016-07-31 06:40:00,52.23
A,2.0,2016-08-01 06:20:00,2016-08-01 06:40:00,58.2
A,2.0,2016-08-02 06:20:00,2016-08-02 06:40:00,48.3
A,2.0,2016-08-03 06:20:00,2016-08-03 06:40:00,72.27
A,2.0,2016-08-04 06:20:00,2016-08-04 06:40:00,92.95
A,2.0,2016-08-05 06:20:00,2016-08-05 06:40:00,52.77
A,2.0,2016-08-06 06:20:00,2016-08-06 06:40:00,44.46
A,2.0,2016-08-07 06:20:00,2016-08-07 06:40:00,51.54
A,2.0,2016-08-08 06:20:00,2016-08-08 06:40:00,53.02
A,2.0,2016-08-09 06:20:00,2016-08-09 06:40:00,52.18
A,2.0,2016-08-10 06:20:00,2016-08-10 06:40:00,69.68
A,2.0,2016-08-11 06:20:00,2016-08-11 06:40:00,71.68
A,2.0,2016-08-12 06:20:00,2016-08-12 06:40:00,57.45
A,2.0,2016-08-13 06:20:00,2016-08-13 06:40:00,33.66
A,2.0,2016-08-14 06:20:00,2016-08-14 06:40:00,63.56
A,2.0,2016-08-15 06:20:00,2016-08-15 06:40:00,111.77
A,2.0,2016-08-16 06:20:00,2016-08-16 06:40:00,59.68
A,2.0,2016-08-17 06:20:00,2016-08-17 06:40:00,34.4
A,2.0,2016-08-18 06:20:00,2016-08-18 06:40:00,41.4
A,2.0,2016-08-19 06:20:00,2016-08-19 06:40:00,39.52
A,2.0,2016-08-20 06:20:00,2016-08-20 06:40:00,52.73
A,2.0,2016-08-21 06:20:00,2016-08-21 06:40:00,37.7
A,2.0,2016-08-22 06:20:00,2016-08-22 06:40:00,46.76
A,2.0,2016-08-23 06:20:00,2016-08-23 06:40:00,75.15
A,2.0,2016-08-24 06:20:00,2016-08-24 06:40:00,46.0
A,2.0,2016-08-25 06:20:00,2016-08-25 06:40:00,45.82
A,2.0,2016-08-26 06:20:00,2016-08-26 06:40:00,
A,2.0,2016-08-27 06:20:00,2016-08-27 06:40:00,15.64
A,2.0,2016-08-28 06:20:00,2016-08-28 06:40:00,47.46
A,2.0,2016-08-29 06:20:00,2016-08-29 06:40:00,61.45
A,2.0,2016-08-30 06:20:00,2016-08-30 06:40:00,38.03
A,2.0,2016-08-31 06:20:00,2016-08-31 06:40:00,54.83
A,2.0,2016-09-01 06:20:00,2016-09-01 06:40:00,48.19
A,2.0,2016-09-02 06:20:00,2016-09-02 06:40:00,55.69
A,2.0,2016-09-03 06:20:00,2016-09-03 06:40:00,59.82
A,2.0,2016-09-04 06:20:00,2016-09-04 06:40:00,68.12
A,2.0,2016-09-05 06:20:00,2016-09-05 06:40:00,55.37
A,2.0,2016-09-06 06:20:00,2016-09-06 06:40:00,57.18
A,2.0,2016-09-07 06:20:00,2016-09-07 06:40:00,17.18
A,2.0,2016-09-08 06:20:00,2016-09-08 06:40:00,31.68
A,2.0,2016-09-09 06:20:00,2016-09-09 06:40:00,48.32
A,2.0,2016-09-10 06:20:00,2016-09-10 06:40:00,82.88
A,2.0,2016-09-11 06:20:00,2016-09-11 06:40:00,
A,2.0,2016-09-12 06:20:00,2016-09-12 06:40:00,72.09
A,2.0,2016-09-13 06:20:00,2016-09-13 06:40:00,75.59
A,2.0,2016-09-14 06:20:00,2016-09-14 06:40:00,69.52
A,2.0,2016-09-15 06:20:00,2016-09-15 06:40:00,47.1
A,2.0,2016-09-16 06:20:00,2016-09-16 06:40:00,
A,2.0,2016-09-17 06:20:00,2016-09-17 06:40:00,103.71
A,2.0,2016-09-18 06:20:00,2016-09-18 06:40:00,91.28
A,2.0,2016-09-19 06:20:00,2016-09-19 06:40:00,76.98
A,2.0,2016-09-20 06:20:00,2016-09-20 06:40:00,93.19
A,2.0,2016-09-21 06:20:00,2016-09-21 06:40:00,54.68
A,2.0,2016-09-22 06:20:00,2016-09-22 06:40:00,52.04
A,2.0,2016-09-23 06:20:00,2016-09-23 06:40:00,50.53
A,2.0,2016-09-24 06:20:00,2016-09-24 06:40:00,56.85
A,2.0,2016-09-25 06:20:00,2016-09-25 06:40:00,37.7
A,2.0,2016-09-26 06:20:00,2016-09-26 06:40:00,55.6
A,2.0,2016-09-27 06:20:00,2016-09-27 06:40:00,
A,2.0,2016-09-28 06:20:00,2016-09-28 06:40:00,56.36
A,2.0,2016-09-29 06:20:00,2016-09-29 06:40:00,45.46
A,2.0,2016-09-30 06:20:00,2016-09-30 06:40:00,34.38
A,2.0,2016-10-01 06:20:00,2016-10-01 06:40:00,70.1
A,2.0,2016-10-02 06:20:00,2016-10-02 06:40:00,125.86
A,2.0,2016-10-03 06:20:00,2016-10-03 06:40:00,54.49
A,2.0,2016-10-04 06:20:00,2016-10-04 06:40:00,44.88
A,2.0,2016-10-05 06:20:00,2016-10-05 06:40:00,48.34
A,2.0,2016-10-06 06:20:00,2016-10-06 06:40:00,56.87
A,2.0,2016-10-07 06:20:00,2016-10-07 06:40:00,54.74
A,2.0,2016-10-08 06:20:00,2016-10-08 06:40:00,42.08
A,2.0,2016-10-09 06:20:00,2016-10-09 06:40:00,47.68
A,2.0,2016-10-10 06:20:00,2016-10-10 06:40:00,53.98
A,2.0,2016-10-11 06:20:00,2016-10-11 06:40:00,32.56
A,2.0,2016-10-12 06:20:00,2016-10-12 06:40:00,45.53
A,2.0,2016-10-13 06:20:00,2016-10-13 06:40:00,77.89
A,2.0,2016-10-14 06:20:00,2016-10-14 06:40:00,62.66
A,2.0,2016-10-15 06:20:00,2016-10-15 06:40:00,14.97
A,2.0,2016-10-16 06:20:00,2016-10-16 06:40:00,43.37
A,2.0,2016-10-17 06:20:00,2016-10-17 06:40:00,48.09
A,2.0,2016-07-19 06:40:00,2016-07-19 07:00:00,66.64
A,2.0,2016-07-20 06:40:00,2016-07-20 07:00:00,88.81
A,2.0,2016-07-21 06:40:00,2016-07-21 07:00:00,65.34
A,2.0,2016-07-22 06:40:00,2016-07-22 07:00:00,63.97
A,2.0,2016-07-23 06:40:00,2016-07-23 07:00:00,82.56
A,2.0,2016-07-24 06:40:00,2016-07-24 07:00:00,60.76
A,2.0,2016-07-25 06:40:00,2016-07-25 07:00:00,63.42
A,2.0,2016-07-26 06:40:00,2016-07-26 07:00:00,55.28
A,2.0,2016-07-27 06:40:00,2016-07-27 07:00:00,74.66
A,2.0,2016-07-28 06:40:00,2016-07-28 07:00:00,64.15
A,2.0,2016-07-29 06:40:00,2016-07-29 07:00:00,60.58
A,2.0,2016-07-30 06:40:00,2016-07-30 07:00:00,54.22
A,2.0,2016-07-31 06:40:00,2016-07-31 07:00:00,51.54
A,2.0,2016-08-01 06:40:00,2016-08-01 07:00:00,49.16
A,2.0,2016-08-02 06:40:00,2016-08-02 07:00:00,45.85
A,2.0,2016-08-03 06:40:00,2016-08-03 07:00:00,70.32
A,2.0,2016-08-04 06:40:00,2016-08-04 07:00:00,50.94
A,2.0,2016-08-05 06:40:00,2016-08-05 07:00:00,48.52
A,2.0,2016-08-06 06:40:00,2016-08-06 07:00:00,84.71
A,2.0,2016-08-07 06:40:00,2016-08-07 07:00:00,43.46
A,2.0,2016-08-08 06:40:00,2016-08-08 07:00:00,58.71
A,2.0,2016-08-09 06:40:00,2016-08-09 07:00:00,80.32
A,2.0,2016-08-10 06:40:00,2016-08-10 07:00:00,100.77
A,2.0,2016-08-11 06:40:00,2016-08-11 07:00:00,49.72
A,2.0,2016-08-12 06:40:00,2016-08-12 07:00:00,47.15
A,2.0,2016-08-13 06:40:00,2016-08-13 07:00:00,57.82
A,2.0,2016-08-14 06:40:00,2016-08-14 07:00:00,45.9
A,2.0,2016-08-15 06:40:00,2016-08-15 07:00:00,48.24
A,2.0,2016-08-16 06:40:00,2016-08-16 07:00:00,46.51
A,2.0,2016-08-17 06:40:00,2016-08-17 07:00:00,44.49
A,2.0,2016-08-18 06:40:00,2016-08-18 07:00:00,48.21
A,2.0,2016-08-19 06:40:00,2016-08-19 07:00:00,40.73
A,2.0,2016-08-20 06:40:00,2016-08-20 07:00:00,55.38
A,2.0,2016-08-21 06:40:00,2016-08-21 07:00:00,45.71
A,2.0,2016-08-22 06:40:00,2016-08-22 07:00:00,48.8
A,2.0,2016-08-23 06:40:00,2016-08-23 07:00:00,30.01
A,2.0,2016-08-24 06:40:00,2016-08-24 07:00:00,42.11
A,2.0,2016-08-25 06:40:00,2016-08-25 07:00:00,50.86
A,2.0,2016-08-26 06:40:00,2016-08-26 07:00:00,38.73
A,2.0,2016-08-27 06:40:00,2016-08-27 07:00:00,61.77
A,2.0,2016-08-28 06:40:00,2016-08-28 07:00:00,74.76
A,2.0,2016-08-29 06:40:00,2016-08-29 07:00:00,29.06
A,2.0,2016-08-30 06:40:00,2016-08-30 07:00:00,40.01
A,2.0,2016-08-31 06:40:00,2016-08-31 07:00:00,72.23
A,2.0,2016-09-01 06:40:00,2016-09-01 07:00:00,67.22
A,2.0,2016-09-02 06:40:00,2016-09-02 07:00:00,64.6
A,2.0,2016-09-03 06:40:00,2016-09-03 07:00:00,80.15
A,2.0,2016-09-04 06:40:00,2016-09-04 07:00:00,72.63
A,2.0,2016-09-05 06:40:00,2016-09-05 07:00:00,50.49
A,2.0,2016-09-06 06:40:00,2016-09-06 07:00:00,74.89
A,2.0,2016-09-07 06:40:00,2016-09-07 07:00:00,66.75
A,2.0,2016-09-08 06:40:00,2016-09-08 07:00:00,62.88
A,2.0,2016-09-09 06:40:00,2016-09-09 07:00:00,41.94
A,2.0,2016-09-10 06:40:00,2016-09-10 07:00:00,88.92
A,2.0,2016-09-11 06:40:00,2016-09-11 07:00:00,46.71
A,2.0,2016-09-12 06:40:00,2016-09-12 07:00:00,56.53
A,2.0,2016-09-13 06:40:00,2016-09-13 07:00:00,55.45
A,2.0,2016-09-14 06:40:00,2016-09-14 07:00:00,67.45
A,2.0,2016-09-15 06:40:00,2016-09-15 07:00:00,91.12
A,2.0,2016-09-16 06:40:00,2016-09-16 07:00:00,67.77
A,2.0,2016-09-17 06:40:00,2016-09-17 07:00:00,36.43
A,2.0,2016-09-18 06:40:00,2016-09-18 07:00:00,50.3
A,2.0,2016-09-19 06:40:00,2016-09-19 07:00:00,68.74
A,2.0,2016-09-20 06:40:00,2016-09-20 07:00:00,52.35
A,2.0,2016-09-21 06:40:00,2016-09-21 07:00:00,49.19
A,2.0,2016-09-22 06:40:00,2016-09-22 07:00:00,38.01
A,2.0,2016-09-23 06:40:00,2016-09-23 07:00:00,51.25
A,2.0,2016-09-24 06:40:00,2016-09-24 07:00:00,65.54
A,2.0,2016-09-25 06:40:00,2016-09-25 07:00:00,162.79
A,2.0,2016-09-26 06:40:00,2016-09-26 07:00:00,72.58
A,2.0,2016-09-27 06:40:00,2016-09-27 07:00:00,57.25
A,2.0,2016-09-28 06:40:00,2016-09-28 07:00:00,51.61
A,2.0,2016-09-29 06:40:00,2016-09-29 07:00:00,63.76
A,2.0,2016-09-30 06:40:00,2016-09-30 07:00:00,55.16
A,2.0,2016-10-01 06:40:00,2016-10-01 07:00:00,64.48
A,2.0,2016-10-02 06:40:00,2016-10-02 07:00:00,52.99
A,2.0,2016-10-03 06:40:00,2016-10-03 07:00:00,48.79
A,2.0,2016-10-04 06:40:00,2016-10-04 07:00:00,49.28
A,2.0,2016-10-05 06:40:00,2016-10-05 07:00:00,42.72
A,2.0,2016-10-06 06:40:00,2016-10-06 07:00:00,39.57
A,2.0,2016-10-07 06:40:00,2016-10-07 07:00:00,41.9
A,2.0,2016-10-08 06:40:00,2016-10-08 07:00:00,38.73
A,2.0,2016-10-09 06:40:00,2016-10-09 07:00:00,61.75
A,2.0,2016-10-10 06:40:00,2016-10-10 07:00:00,47.92
A,2.0,2016-10-11 06:40:00,2016-10-11 07:00:00,63.51
A,2.0,2016-10-12 06:40:00,2016-10-12 07:00:00,69.16
A,2.0,2016-10-13 06:40:00,2016-10-13 07:00:00,55.53
A,2.0,2016-10-14 06:40:00,2016-10-14 07:00:00,72.25
A,2.0,2016-10-15 06:40:00,2016-10-15 07:00:00,
A,2.0,2016-10-16 06:40:00,2016-10-16 07:00:00,39.0
A,2.0,2016-10-17 06:40:00,2016-10-17 07:00:00,56.39
A,2.0,2016-07-19 07:00:00,2016-07-19 07:20:00,64.68
A,2.0,2016-07-20 07:00:00,2016-07-20 07:20:00,77.85
A,2.0,2016-07-21 07:00:00,2016-07-21 07:20:00,78.01
A,2.0,2016-07-22 07:00:00,2016-07-22 07:20:00,132.22
A,2.0,2016-07-23 07:00:00,2016-07-23 07:20:00,87.63
A,2.0,2016-07-24 07:00:00,2016-07-24 07:20:00,106.39
A,2.0,2016-07-25 07:00:00,2016-07-25 07:20:00,85.79
A,2.0,2016-07-26 07:00:00,2016-07-26 07:20:00,64.6
A,2.0,2016-07-27 07:00:00,2016-07-27 07:20:00,91.73
A,2.0,2016-07-28 07:00:00,2016-07-28 07:20:00,56.91
A,2.0,2016-07-29 07:00:00,2016-07-29 07:20:00,68.89
A,2.0,2016-07-30 07:00:00,2016-07-30 07:20:00,80.87
A,2.0,2016-07-31 07:00:00,2016-07-31 07:20:00,34.9
A,2.0,2016-08-01 07:00:00,2016-08-01 07:20:00,77.31
A,2.0,2016-08-02 07:00:00,2016-08-02 07:20:00,82.62
A,2.0,2016-08-03 07:00:00,2016-08-03 07:20:00,64.97
A,2.0,2016-08-04 07:00:00,2016-08-04 07:20:00,57.36
A,2.0,2016-08-05 07:00:00,2016-08-05 07:20:00,51.92
A,2.0,2016-08-06 07:00:00,2016-08-06 07:20:00,69.3
A,2.0,2016-08-07 07:00:00,2016-08-07 07:20:00,49.38
A,2.0,2016-08-08 07:00:00,2016-08-08 07:20:00,57.87
A,2.0,2016-08-09 07:00:00,2016-08-09 07:20:00,63.17
A,2.0,2016-08-10 07:00:00,2016-08-10 07:20:00,72.75
A,2.0,2016-08-11 07:00:00,2016-08-11 07:20:00,62.08
A,2.0,2016-08-12 07:00:00,2016-08-12 07:20:00,56.73
A,2.0,2016-08-13 07:00:00,2016-08-13 07:20:00,64.16
A,2.0,2016-08-14 07:00:00,2016-08-14 07:20:00,62.69
A,2.0,2016-08-15 07:00:00,2016-08-15 07:20:00,39.23
A,2.0,2016-08-16 07:00:00,2016-08-16 07:20:00,66.39
A,2.0,2016-08-17 07:00:00,2016-08-17 07:20:00,75.18
A,2.0,2016-08-18 07:00:00,2016-08-18 07:20:00,56.65
A,2.0,2016-08-19 07:00:00,2016-08-19 07:20:00,68.11
A,2.0,2016-08-20 07:00:00,2016-08-20 07:20:00,85.35
A,2.0,2016-08-21 07:00:00,2016-08-21 07:20:00,61.24
A,2.0,2016-08-22 07:00:00,2016-08-22 07:20:00,58.48
A,2.0,2016-08-23 07:00:00,2016-08-23 07:20:00,47.14
A,2.0,2016-08-24 07:00:00,2016-08-24 07:20:00,55.7
A,2.0,2016-08-25 07:00:00,2016-08-25 07:20:00,57.43
A,2.0,2016-08-26 07:00:00,2016-08-26 07:20:00,61.94
A,2.0,2016-08-27 07:00:00,2016-08-27 07:20:00,44.66
A,2.0,2016-08-28 07:00:00,2016-08-28 07:20:00,
A,2.0,2016-08-29 07:00:00,2016-08-29 07:20:00,77.26
A,2.0,2016-08-30 07:00:00,2016-08-30 07:20:00,86.8
A,2.0,2016-08-31 07:00:00,2016-08-31 07:20:00,65.81
A,2.0,2016-09-01 07:00:00,2016-09-01 07:20:00,78.17
A,2.0,2016-09-02 07:00:00,2016-09-02 07:20:00,55.77
A,2.0,2016-09-03 07:00:00,2016-09-03 07:20:00,70.96
A,2.0,2016-09-04 07:00:00,2016-09-04 07:20:00,53.37
A,2.0,2016-09-05 07:00:00,2016-09-05 07:20:00,42.76
A,2.0,2016-09-06 07:00:00,2016-09-06 07:20:00,
A,2.0,2016-09-07 07:00:00,2016-09-07 07:20:00,59.27
A,2.0,2016-09-08 07:00:00,2016-09-08 07:20:00,48.82
A,2.0,2016-09-09 07:00:00,2016-09-09 07:20:00,56.7
A,2.0,2016-09-10 07:00:00,2016-09-10 07:20:00,49.7
A,2.0,2016-09-11 07:00:00,2016-09-11 07:20:00,81.42
A,2.0,2016-09-12 07:00:00,2016-09-12 07:20:00,57.17
A,2.0,2016-09-13 07:00:00,2016-09-13 07:20:00,53.82
A,2.0,2016-09-14 07:00:00,2016-09-14 07:20:00,75.1
A,2.0,2016-09-15 07:00:00,2016-09-15 07:20:00,79.56
A,2.0,2016-09-16 07:00:00,2016-09-16 07:20:00,58.62
A,2.0,2016-09-17 07:00:00,2016-09-17 07:20:00,91.64
A,2.0,2016-09-18 07:00:00,2016-09-18 07:20:00,67.65
A,2.0,2016-09-19 07:00:00,2016-09-19 07:20:00,61.69
A,2.0,2016-09-20 07:00:00,2016-09-20 07:20:00,62.0
A,2.0,2016-09-21 07:00:00,2016-09-21 07:20:00,61.19
A,2.0,2016-09-22 07:00:00,2016-09-22 07:20:00,45.05
A,2.0,2016-09-23 07:00:00,2016-09-23 07:20:00,68.83
A,2.0,2016-09-24 07:00:00,2016-09-24 07:20:00,50.85
A,2.0,2016-09-25 07:00:00,2016-09-25 07:20:00,47.48
A,2.0,2016-09-26 07:00:00,2016-09-26 07:20:00,60.91
A,2.0,2016-09-27 07:00:00,2016-09-27 07:20:00,76.94
A,2.0,2016-09-28 07:00:00,2016-09-28 07:20:00,47.5
A,2.0,2016-09-29 07:00:00,2016-09-29 07:20:00,51.28
A,2.0,2016-09-30 07:00:00,2016-09-30 07:20:00,59.17
A,2.0,2016-10-01 07:00:00,2016-10-01 07:20:00,79.77
A,2.0,2016-10-02 07:00:00,2016-10-02 07:20:00,42.41
A,2.0,2016-10-03 07:00:00,2016-10-03 07:20:00,58.9
A,2.0,2016-10-04 07:00:00,2016-10-04 07:20:00,48.98
A,2.0,2016-10-05 07:00:00,2016-10-05 07:20:00,45.89
A,2.0,2016-10-06 07:00:00,2016-10-06 07:20:00,50.47
A,2.0,2016-10-07 07:00:00,2016-10-07 07:20:00,43.99
A,2.0,2016-10-08 07:00:00,2016-10-08 07:20:00,56.85
A,2.0,2016-10-09 07:00:00,2016-10-09 07:20:00,45.26
A,2.0,2016-10-10 07:00:00,2016-10-10 07:20:00,98.15
A,2.0,2016-10-11 07:00:00,2016-10-11 07:20:00,65.71
A,2.0,2016-10-12 07:00:00,2016-10-12 07:20:00,52.01
A,2.0,2016-10-13 07:00:00,2016-10-13 07:20:00,55.55
A,2.0,2016-10-14 07:00:00,2016-10-14 07:20:00,53.03
A,2.0,2016-10-15 07:00:00,2016-10-15 07:20:00,19.88
A,2.0,2016-10-16 07:00:00,2016-10-16 07:20:00,73.32
A,2.0,2016-10-17 07:00:00,2016-10-17 07:20:00,54.17
A,2.0,2016-07-19 07:20:00,2016-07-19 07:40:00,85.68
A,2.0,2016-07-20 07:20:00,2016-07-20 07:40:00,94.92
A,2.0,2016-07-21 07:20:00,2016-07-21 07:40:00,109.73
A,2.0,2016-07-22 07:20:00,2016-07-22 07:40:00,100.39
A,2.0,2016-07-23 07:20:00,2016-07-23 07:40:00,86.33
A,2.0,2016-07-24 07:20:00,2016-07-24 07:40:00,70.0
A,2.0,2016-07-25 07:20:00,2016-07-25 07:40:00,74.48
A,2.0,2016-07-26 07:20:00,2016-07-26 07:40:00,97.3
A,2.0,2016-07-27 07:20:00,2016-07-27 07:40:00,79.57
A,2.0,2016-07-28 07:20:00,2016-07-28 07:40:00,84.17
A,2.0,2016-07-29 07:20:00,2016-07-29 07:40:00,49.6
A,2.0,2016-07-30 07:20:00,2016-07-30 07:40:00,55.07
A,2.0,2016-07-31 07:20:00,2016-07-31 07:40:00,71.22
A,2.0,2016-08-01 07:20:00,2016-08-01 07:40:00,107.51
A,2.0,2016-08-02 07:20:00,2016-08-02 07:40:00,64.38
A,2.0,2016-08-03 07:20:00,2016-08-03 07:40:00,61.73
A,2.0,2016-08-04 07:20:00,2016-08-04 07:40:00,64.43
A,2.0,2016-08-05 07:20:00,2016-08-05 07:40:00,55.42
A,2.0,2016-08-06 07:20:00,2016-08-06 07:40:00,66.27
A,2.0,2016-08-07 07:20:00,2016-08-07 07:40:00,54.84
A,2.0,2016-08-08 07:20:00,2016-08-08 07:40:00,58.74
A,2.0,2016-08-09 07:20:00,2016-08-09 07:40:00,65.44
A,2.0,2016-08-10 07:20:00,2016-08-10 07:40:00,70.26
A,2.0,2016-08-11 07:20:00,2016-08-11 07:40:00,49.61
